Nome,Idade,Curso,Ano de Ingresso,Semestre Atual,Média de Notas,Total de Créditos Concluídos,Bolsa de Estudo,Tipo de Alojamento,Participação em Atividades Extracurriculares,Participação em Projetos de Pesquisa,Estágio Atual,Empresa do Estágio,Tempo de Viagem até a Universidade,Satisfação com o Curso
Carla Silva,26,Arquitetura,2019,8,9.88,14,sim,moradia estudantil,sim,não,não,,29,5
Fernanda Oliveira,20,Ciência da Computação,2017,3,5.15,188,não,república,sim,não,não,,37,4
Helena Ferreira,26,Administração,2017,7,6.22,44,não,moradia estudantil,não,não,não,,54,5
Bruno Ribeiro,20,Engenharia,2019,5,7.4,43,não,apartamento,não,não,sim,Empresa C,27,2
Helena Costa,28,Arquitetura,2018,6,2.91,90,sim,moradia estudantil,não,não,não,,14,2
Alice Martins,22,Ciência da Computação,2017,2,7.62,172,não,moradia estudantil,não,não,não,,22,1
Alice Costa,22,Medicina,2015,7,5.72,52,não,república,sim,não,não,,37,5
Igor Pereira,25,Ciência da Computação,2017,5,1.4,78,sim,casa,sim,não,sim,Empresa B,55,1
Julia Santos,30,Arquitetura,2018,4,4.17,135,não,república,não,não,sim,Empresa D,13,3
Igor Oliveira,19,Arquitetura,2017,10,3.18,180,não,moradia estudantil,sim,sim,não,,10,3
Bruno Silva,20,Ciência da Computação,2018,3,7.42,27,não,apartamento,não,não,sim,Empresa C,12,5
Alice Oliveira,27,Administração,2017,5,5.19,117,não,república,sim,sim,não,,18,1
Erika Silva,20,Medicina,2015,5,1.05,58,não,moradia estudantil,sim,não,não,,29,5
Gustavo Silva,18,Direito,2019,10,6.02,166,não,apartamento,não,sim,não,,23,1
Helena Ribeiro,26,Ciência da Computação,2020,4,8.69,125,não,casa,não,sim,sim,Empresa D,59,4
Gustavo Martins,19,Direito,2016,9,8.13,122,não,moradia estudantil,não,não,não,,11,4
Erika Ferreira,25,Administração,2015,8,1.86,161,sim,moradia estudantil,não,sim,sim,Empresa A,59,3
Julia Almeida,18,Direito,2020,6,9.28,111,não,casa,não,não,não,,28,1
Gustavo Ribeiro,21,Engenharia,2019,10,9.86,105,não,apartamento,não,não,sim,Empresa E,36,3
Carla Santos,30,Psicologia,2016,8,7.94,65,não,apartamento,não,não,não,,11,1
Helena Pereira,21,Direito,2020,4,0.1,175,não,moradia estudantil,não,não,não,,37,4
Alice Oliveira,23,Direito,2017,2,7.88,41,não,casa,não,sim,não,,36,3
Helena Costa,27,Direito,2020,10,8.78,61,sim,república,não,sim,não,,46,1
Julia Ferreira,22,Engenharia,2018,3,3.68,136,não,república,sim,não,não,,39,5
Helena Pereira,21,Ciência da Computação,2016,3,7.75,82,não,moradia estudantil,não,não,não,,38,1
Erika Silva,28,Engenharia,2016,1,1.06,149,não,república,sim,não,sim,Empresa A,44,4
Bruno Costa,20,Engenharia,2019,10,0.44,167,sim,casa,não,não,não,,37,3
Igor Gomes,29,Ciência da Computação,2017,7,5.89,141,não,apartamento,não,sim,sim,Empresa D,17,3
Erika Almeida,18,Medicina,2016,6,1.41,32,não,república,não,não,não,,29,5
Igor Silva,21,Psicologia,2017,9,9.54,157,não,apartamento,não,sim,sim,Empresa E,51,3
Bruno Santos,28,Medicina,2015,8,9.57,69,não,moradia estudantil,não,não,não,,60,5
Julia Martins,19,Engenharia,2015,9,0.57,31,não,apartamento,não,não,não,,42,3
Daniel Ribeiro,19,Arquitetura,2018,7,3.18,118,sim,apartamento,sim,não,não,,10,3
Daniel Gomes,28,Psicologia,2016,3,1.57,142,não,apartamento,não,não,não,,56,1
Gustavo Martins,25,Ciência da Computação,2015,4,8.41,106,não,moradia estudantil,não,sim,não,,12,5
Igor Gomes,24,Ciência da Computação,2016,6,0.34,138,não,república,não,sim,não,,40,2
Erika Ferreira,22,Ciência da Computação,2020,10,7.79,190,não,casa,não,não,não,,24,1
Alice Almeida,21,Medicina,2018,2,0.15,26,não,república,não,não,não,,10,4
Carla Martins,29,Direito,2018,3,5.68,144,não,república,sim,não,não,,10,2
Daniel Costa,25,Administração,2018,2,4.54,112,não,casa,não,não,sim,Empresa A,55,1
Bruno Martins,26,Administração,2020,5,6.48,104,não,república,sim,sim,não,,22,5
Fernanda Pereira,27,Psicologia,2020,8,6.87,128,sim,moradia estudantil,não,não,não,,43,1
Bruno Ferreira,25,Ciência da Computação,2015,9,7.19,189,não,apartamento,não,não,não,,22,5
Gustavo Pereira,24,Psicologia,2019,6,5.16,66,não,casa,não,não,não,,47,1
Fernanda Almeida,26,Administração,2019,7,1.31,25,não,casa,não,não,não,,52,3
Fernanda Costa,20,Ciência da Computação,2020,4,8.53,24,não,moradia estudantil,não,não,não,,58,3
Bruno Almeida,18,Direito,2018,1,6.94,26,sim,apartamento,não,não,não,,55,5
Igor Martins,26,Administração,2016,9,2.17,125,não,casa,sim,sim,não,,35,2
Julia Santos,26,Medicina,2018,9,8.59,61,não,casa,não,não,sim,Empresa C,45,1
Bruno Martins,21,Engenharia,2016,4,2.74,5,não,casa,não,sim,não,,45,3
Helena Almeida,30,Direito,2017,8,4.64,78,não,casa,não,não,não,,28,3
Igor Ribeiro,30,Direito,2015,3,7.03,135,não,apartamento,sim,não,não,,19,2
Fernanda Ferreira,27,Medicina,2016,10,6.27,88,não,moradia estudantil,não,não,não,,49,3
Alice Santos,27,Engenharia,2018,2,9.12,152,não,casa,não,sim,não,,35,2
Erika Oliveira,18,Administração,2017,6,2.13,93,não,casa,não,não,não,,60,2
Igor Costa,20,Medicina,2019,8,2.84,170,não,república,sim,não,não,,59,5
Erika Santos,20,Ciência da Computação,2016,4,7.43,3,não,república,não,não,sim,Empresa E,54,4
Daniel Pereira,30,Psicologia,2020,10,2.65,124,não,casa,não,não,não,,60,3
Gustavo Almeida,23,Engenharia,2020,2,7.98,174,não,república,não,não,não,,37,5
Julia Oliveira,30,Ciência da Computação,2018,9,6.98,144,não,apartamento,não,não,não,,31,2
Erika Ferreira,23,Psicologia,2016,7,1.32,126,não,moradia estudantil,não,não,não,,26,4
Fernanda Pereira,24,Arquitetura,2015,4,1.2,16,não,moradia estudantil,não,sim,não,,14,4
Daniel Ferreira,19,Engenharia,2020,10,2.92,23,sim,moradia estudantil,sim,não,sim,Empresa C,59,2
Bruno Oliveira,30,Administração,2019,5,9.58,184,não,apartamento,não,sim,não,,58,5
Erika Oliveira,25,Engenharia,2018,7,6.39,199,não,apartamento,não,não,sim,Empresa C,60,3
Igor Pereira,18,Direito,2018,7,5.38,102,sim,moradia estudantil,não,sim,não,,24,4
Erika Santos,20,Psicologia,2015,10,3.6,69,não,casa,sim,não,não,,39,1
Igor Ferreira,27,Medicina,2017,10,7.38,65,sim,casa,não,não,não,,45,2
Helena Gomes,22,Medicina,2016,6,7.58,85,sim,casa,não,não,não,,36,4
Alice Pereira,27,Engenharia,2019,4,0.39,41,não,moradia estudantil,não,sim,não,,17,5
Gustavo Santos,18,Arquitetura,2020,1,1.76,95,não,casa,não,não,não,,29,4
Fernanda Gomes,28,Ciência da Computação,2020,10,6.64,7,sim,moradia estudantil,sim,não,não,,45,4
Igor Ferreira,25,Ciência da Computação,2019,8,0.1,50,não,república,não,não,não,,14,4
Helena Silva,23,Engenharia,2019,7,4.51,58,não,apartamento,sim,não,não,,58,5
Erika Costa,19,Engenharia,2015,9,5.55,134,não,apartamento,não,sim,não,,35,2
Erika Pereira,27,Administração,2019,4,4.75,122,não,casa,não,não,sim,Empresa D,28,4
Carla Ribeiro,19,Psicologia,2019,10,9.09,162,não,república,não,não,não,,46,2
Helena Oliveira,27,Medicina,2015,1,9.93,66,não,moradia estudantil,sim,não,sim,Empresa E,35,4
Julia Gomes,18,Ciência da Computação,2016,8,7.5,190,não,moradia estudantil,sim,não,sim,Empresa A,22,3
Erika Oliveira,27,Engenharia,2020,10,5.12,67,não,casa,sim,não,não,,22,3
Gustavo Gomes,21,Medicina,2018,6,5.75,125,não,casa,não,não,sim,Empresa A,41,3
Erika Pereira,25,Ciência da Computação,2019,2,0.53,55,não,apartamento,não,não,não,,24,4
Erika Costa,27,Psicologia,2016,2,1.7,7,não,apartamento,não,sim,não,,47,5
Gustavo Martins,25,Psicologia,2016,7,0.78,148,não,apartamento,sim,sim,sim,Empresa A,48,2
Gustavo Costa,18,Psicologia,2017,9,9.96,124,não,apartamento,não,sim,não,,24,2
Igor Oliveira,18,Medicina,2020,6,0.74,100,não,república,não,não,não,,36,1
Gustavo Gomes,18,Medicina,2018,9,2.35,55,não,república,não,não,não,,55,1
Igor Silva,18,Arquitetura,2016,7,5.77,161,não,república,não,sim,sim,Empresa D,30,2
Igor Costa,20,Medicina,2015,3,0.76,30,sim,república,sim,não,não,,36,2
Helena Almeida,26,Medicina,2019,10,8.89,21,sim,apartamento,não,sim,não,,60,1
Julia Gomes,21,Direito,2017,2,2.82,180,não,república,não,não,não,,18,1
Helena Silva,19,Psicologia,2017,6,8.98,95,não,república,não,não,não,,38,5
Carla Almeida,24,Ciência da Computação,2015,6,4.69,99,não,moradia estudantil,não,não,não,,35,1
Helena Martins,27,Direito,2016,8,6.01,132,sim,apartamento,não,não,sim,Empresa A,50,5
Fernanda Santos,19,Direito,2017,6,8.19,130,não,república,não,não,não,,55,3
Julia Ribeiro,22,Direito,2019,6,4.24,78,não,apartamento,não,não,não,,56,1
Alice Ferreira,21,Engenharia,2018,3,0.9,105,não,república,não,não,não,,25,4
Carla Ribeiro,28,Engenharia,2015,7,3.34,51,não,moradia estudantil,não,não,sim,Empresa D,60,4
Carla Gomes,23,Arquitetura,2015,9,7.87,107,não,apartamento,não,não,não,,21,2
Fernanda Pereira,27,Administração,2018,2,8.54,148,não,república,não,sim,não,,13,4
Gustavo Costa,24,Administração,2017,7,9.48,20,sim,casa,sim,sim,não,,27,2
Bruno Oliveira,24,Medicina,2017,7,2.45,105,não,casa,sim,não,não,,26,4
Alice Silva,27,Psicologia,2019,9,6.12,98,não,casa,sim,não,não,,18,3
Julia Santos,21,Psicologia,2015,4,6.39,122,não,apartamento,não,sim,não,,15,4
Gustavo Ferreira,22,Psicologia,2019,4,5.18,151,não,apartamento,não,não,não,,58,4
Bruno Gomes,22,Medicina,2018,9,9.21,4,não,casa,não,não,não,,49,1
Carla Costa,26,Direito,2019,5,3.35,4,não,república,não,sim,não,,41,1
Helena Ribeiro,18,Psicologia,2020,6,2.36,39,não,casa,não,não,não,,46,1
Erika Pereira,29,Ciência da Computação,2018,7,4.27,81,não,moradia estudantil,não,não,não,,44,5
Alice Almeida,25,Ciência da Computação,2015,1,6.85,156,não,moradia estudantil,sim,não,não,,34,3
Erika Costa,21,Administração,2020,2,2.14,135,não,casa,não,não,sim,Empresa B,34,1
Daniel Ferreira,18,Psicologia,2016,2,5.44,142,sim,apartamento,não,não,não,,52,4
Daniel Pereira,27,Medicina,2020,3,6.31,122,não,apartamento,sim,não,não,,23,3
Helena Costa,18,Direito,2020,2,2.85,32,não,casa,não,não,não,,53,1
Igor Gomes,23,Direito,2017,2,3.31,102,não,república,sim,sim,não,,43,2
Gustavo Costa,18,Administração,2019,3,8.4,28,não,casa,sim,sim,não,,20,5
Carla Ferreira,22,Arquitetura,2019,5,1.06,172,não,moradia estudantil,não,não,não,,16,3
Helena Oliveira,20,Administração,2018,9,1.61,115,não,moradia estudantil,não,não,não,,14,2
Alice Costa,25,Engenharia,2017,2,8.02,108,não,moradia estudantil,não,não,não,,50,4
Erika Gomes,24,Arquitetura,2019,9,5.44,24,sim,moradia estudantil,não,não,não,,41,2
Bruno Costa,29,Direito,2016,3,8.18,146,não,moradia estudantil,não,não,não,,58,3
Alice Martins,23,Medicina,2016,4,5.13,92,não,apartamento,não,sim,não,,58,2
Bruno Martins,30,Medicina,2017,4,9.14,151,não,apartamento,não,sim,não,,24,1
Erika Costa,28,Arquitetura,2019,6,1.27,145,sim,moradia estudantil,sim,sim,sim,Empresa E,41,1
Helena Costa,18,Medicina,2020,10,8.99,81,não,república,sim,não,não,,28,5
Igor Almeida,19,Engenharia,2015,3,9.93,74,sim,moradia estudantil,não,não,não,,36,4
Igor Gomes,30,Arquitetura,2019,5,5.0,43,não,moradia estudantil,sim,sim,não,,47,1
Erika Almeida,27,Engenharia,2020,5,1.73,113,sim,moradia estudantil,não,sim,sim,Empresa E,15,1
Helena Oliveira,24,Medicina,2017,5,5.61,89,não,apartamento,não,não,não,,17,3
Bruno Costa,24,Ciência da Computação,2018,7,4.01,72,não,moradia estudantil,não,não,não,,18,3
Gustavo Santos,26,Ciência da Computação,2015,8,3.99,49,não,apartamento,sim,não,não,,10,5
Carla Pereira,20,Engenharia,2019,1,1.82,54,não,moradia estudantil,não,não,não,,16,3
Alice Almeida,29,Psicologia,2020,1,9.35,39,não,apartamento,sim,sim,não,,31,3
Gustavo Gomes,20,Direito,2019,9,8.33,167,não,casa,não,sim,sim,Empresa A,16,3
Alice Gomes,20,Administração,2018,7,5.31,5,não,moradia estudantil,não,não,não,,32,5
Carla Oliveira,22,Medicina,2020,4,2.1,26,não,moradia estudantil,sim,não,não,,60,3
Igor Ferreira,25,Medicina,2015,10,0.96,34,não,moradia estudantil,não,não,sim,Empresa D,43,1
Daniel Santos,21,Ciência da Computação,2020,7,8.96,97,não,apartamento,não,sim,não,,24,4
Bruno Silva,21,Psicologia,2018,5,4.83,199,não,república,não,sim,sim,Empresa A,49,5
Daniel Santos,28,Direito,2018,8,1.08,150,não,casa,sim,sim,não,,22,2
Gustavo Pereira,30,Arquitetura,2016,6,5.94,39,não,casa,não,não,não,,23,4
Julia Ribeiro,24,Administração,2019,10,9.18,194,não,república,não,não,não,,32,3
Alice Santos,30,Engenharia,2015,7,3.6,58,não,apartamento,não,não,sim,Empresa E,40,5
Bruno Gomes,26,Direito,2016,3,1.07,44,não,república,sim,não,não,,14,3
Fernanda Gomes,19,Direito,2020,2,2.79,107,não,casa,sim,não,sim,Empresa D,56,1
Bruno Oliveira,30,Psicologia,2017,5,1.51,26,não,casa,não,não,não,,55,4
Igor Santos,26,Ciência da Computação,2016,7,5.3,152,não,apartamento,não,não,não,,16,3
Helena Santos,26,Administração,2018,9,0.86,24,não,casa,não,não,não,,32,4
Gustavo Santos,26,Psicologia,2019,6,6.97,26,não,casa,não,não,não,,15,1
Fernanda Pereira,22,Administração,2020,1,5.97,33,não,apartamento,sim,não,sim,Empresa D,12,4
Julia Ferreira,19,Medicina,2018,6,6.4,100,não,república,não,sim,não,,58,4
Daniel Oliveira,21,Medicina,2016,5,6.64,49,não,apartamento,não,não,não,,36,1
Alice Martins,25,Engenharia,2019,2,4.46,158,não,moradia estudantil,não,não,sim,Empresa C,52,1
Carla Santos,20,Administração,2020,7,3.66,87,não,república,sim,sim,sim,Empresa D,59,5
Daniel Ferreira,30,Engenharia,2015,4,3.06,120,não,república,não,não,não,,53,4
Gustavo Martins,23,Psicologia,2015,4,8.46,38,não,casa,sim,sim,não,,39,3
Helena Ferreira,25,Arquitetura,2018,3,6.25,72,sim,casa,não,não,não,,22,5
Alice Silva,25,Arquitetura,2018,5,1.15,33,não,república,não,sim,não,,31,1
Gustavo Santos,20,Ciência da Computação,2017,2,2.14,31,não,casa,não,não,não,,50,1
Fernanda Santos,25,Psicologia,2015,9,3.45,81,não,apartamento,não,não,não,,35,2
Daniel Gomes,19,Medicina,2020,7,4.14,144,sim,república,não,não,não,,33,3
Julia Almeida,22,Arquitetura,2017,4,0.47,127,não,república,não,não,não,,42,2
Daniel Martins,18,Medicina,2019,1,3.98,68,não,casa,não,sim,não,,48,3
Erika Almeida,24,Psicologia,2020,4,5.82,111,não,casa,sim,não,não,,17,5
Helena Silva,21,Medicina,2019,6,5.44,70,não,república,não,não,sim,Empresa D,58,1
Igor Silva,23,Direito,2017,2,3.1,200,sim,república,não,não,não,,19,2
Helena Ribeiro,18,Engenharia,2015,7,4.17,126,não,república,não,não,sim,Empresa B,14,5
Gustavo Gomes,28,Ciência da Computação,2016,4,7.91,192,não,moradia estudantil,sim,não,sim,Empresa D,14,1
Carla Oliveira,25,Psicologia,2020,2,6.7,175,não,república,não,não,sim,Empresa D,22,4
Erika Costa,19,Ciência da Computação,2019,8,8.01,44,não,apartamento,não,sim,não,,25,4
Carla Martins,21,Medicina,2016,2,1.97,115,sim,república,não,não,não,,23,1
Erika Ribeiro,23,Engenharia,2015,4,7.73,86,não,casa,não,sim,não,,29,2
Julia Ribeiro,20,Ciência da Computação,2018,8,8.42,35,não,casa,não,sim,sim,Empresa A,46,2
Gustavo Costa,28,Psicologia,2019,1,3.02,6,não,república,não,sim,não,,25,1
Igor Martins,29,Psicologia,2018,8,8.33,175,não,casa,não,não,não,,57,4
Bruno Silva,21,Arquitetura,2016,6,2.53,86,não,casa,não,não,não,,44,1
Daniel Pereira,25,Engenharia,2017,8,8.83,138,não,república,não,não,não,,47,5
Daniel Silva,21,Engenharia,2015,7,2.85,35,não,moradia estudantil,não,sim,não,,52,4
Erika Costa,28,Ciência da Computação,2018,8,4.36,138,não,casa,não,não,não,,20,3
Carla Pereira,29,Ciência da Computação,2019,10,2.47,95,não,casa,não,não,não,,55,1
Carla Gomes,29,Engenharia,2017,7,5.08,13,não,república,não,não,não,,41,4
Bruno Gomes,29,Direito,2016,7,2.49,54,não,república,sim,não,sim,Empresa B,22,4
Igor Oliveira,18,Direito,2017,6,1.04,76,não,casa,não,não,não,,16,1
Igor Santos,23,Ciência da Computação,2016,1,9.59,150,não,moradia estudantil,não,sim,não,,37,5
Helena Ferreira,26,Psicologia,2017,1,1.88,96,não,república,não,sim,não,,37,4
Igor Almeida,29,Engenharia,2020,2,5.4,158,não,república,não,sim,não,,58,1
Julia Martins,25,Medicina,2016,1,5.4,121,não,casa,não,não,sim,Empresa E,30,5
Julia Costa,21,Arquitetura,2019,4,3.03,145,não,república,não,não,não,,52,2
Alice Martins,24,Engenharia,2016,6,3.76,6,não,apartamento,não,não,sim,Empresa B,35,2
Fernanda Pereira,29,Direito,2017,1,9.3,70,não,moradia estudantil,não,sim,não,,16,1
Julia Costa,27,Administração,2018,6,7.17,196,não,apartamento,não,sim,sim,Empresa B,19,4
Carla Ribeiro,19,Direito,2020,6,3.49,158,não,casa,não,não,não,,50,2
Igor Silva,27,Direito,2019,6,1.14,164,não,república,sim,sim,sim,Empresa B,33,3
Bruno Martins,29,Administração,2016,8,5.0,134,não,república,não,não,não,,25,1
Fernanda Martins,20,Direito,2017,6,1.91,130,não,casa,não,não,não,,38,4
Alice Ferreira,24,Medicina,2020,9,9.41,18,não,moradia estudantil,não,sim,sim,Empresa D,26,4
Igor Gomes,22,Administração,2019,9,5.58,3,não,república,sim,não,não,,53,4
Carla Gomes,26,Psicologia,2015,3,5.63,171,não,moradia estudantil,não,não,sim,Empresa B,11,3
Daniel Oliveira,21,Administração,2015,5,4.94,98,sim,casa,sim,não,sim,Empresa A,16,4
Bruno Oliveira,27,Medicina,2017,3,2.42,162,não,moradia estudantil,sim,sim,não,,57,4
Alice Oliveira,20,Engenharia,2015,10,9.98,106,não,casa,não,sim,não,,56,2
Fernanda Ribeiro,29,Ciência da Computação,2019,9,7.97,160,não,república,não,não,não,,14,5
Carla Martins,30,Engenharia,2019,3,4.95,57,não,moradia estudantil,não,não,não,,35,1
Gustavo Santos,26,Psicologia,2018,9,3.02,198,não,república,sim,sim,não,,38,4
Julia Gomes,22,Administração,2019,4,7.24,117,não,casa,não,sim,não,,58,3
Helena Pereira,30,Medicina,2016,8,6.04,32,não,moradia estudantil,sim,sim,sim,Empresa D,32,1
Igor Santos,28,Medicina,2019,5,4.85,180,não,república,não,não,não,,26,1
Helena Silva,28,Engenharia,2016,6,7.75,121,não,república,sim,sim,não,,55,2
Gustavo Ribeiro,23,Ciência da Computação,2017,9,2.72,47,sim,apartamento,não,não,não,,54,2
Gustavo Pereira,29,Medicina,2016,3,5.34,78,sim,república,não,não,não,,50,1
Erika Santos,18,Engenharia,2015,5,4.7,3,não,moradia estudantil,sim,sim,não,,14,5
Alice Oliveira,19,Ciência da Computação,2018,9,10.0,148,sim,casa,não,sim,sim,Empresa B,53,4
Gustavo Ferreira,30,Ciência da Computação,2016,8,4.24,64,não,moradia estudantil,não,não,não,,60,4
Gustavo Ferreira,29,Medicina,2016,6,8.38,197,não,moradia estudantil,não,não,não,,35,2
Daniel Silva,19,Arquitetura,2016,1,0.18,188,não,república,não,não,não,,17,1
Igor Gomes,22,Psicologia,2015,10,5.5,150,não,moradia estudantil,não,não,sim,Empresa E,23,3
Igor Ferreira,26,Medicina,2017,8,5.05,103,não,moradia estudantil,não,não,não,,21,1
Daniel Santos,19,Psicologia,2018,7,3.7,55,não,moradia estudantil,não,não,sim,Empresa A,19,3
Daniel Martins,26,Administração,2020,6,5.35,44,sim,república,sim,não,sim,Empresa A,35,1
Igor Pereira,20,Medicina,2018,6,4.28,70,não,casa,sim,não,não,,54,5
Bruno Gomes,26,Ciência da Computação,2019,7,1.8,157,não,casa,sim,sim,sim,Empresa D,44,1
Gustavo Pereira,29,Psicologia,2017,2,2.83,152,não,república,não,sim,não,,18,2
Gustavo Pereira,27,Medicina,2017,4,8.68,43,não,república,não,não,não,,11,1
Alice Santos,25,Direito,2018,4,7.65,164,sim,casa,sim,não,não,,17,1
Carla Costa,26,Direito,2018,4,7.94,17,não,república,não,não,sim,Empresa E,16,3
Fernanda Martins,27,Ciência da Computação,2018,2,4.26,191,não,casa,sim,não,não,,48,3
Gustavo Pereira,27,Engenharia,2020,2,2.39,190,não,apartamento,sim,não,não,,40,2
Julia Gomes,27,Arquitetura,2019,10,4.85,195,não,casa,não,não,sim,Empresa E,57,2
Fernanda Oliveira,21,Engenharia,2020,1,9.75,12,sim,apartamento,não,não,não,,58,5
Alice Oliveira,28,Psicologia,2017,1,2.83,189,não,república,não,sim,não,,26,2
Julia Ferreira,23,Ciência da Computação,2020,8,2.01,87,não,moradia estudantil,não,não,sim,Empresa C,41,3
Erika Martins,23,Medicina,2017,1,0.16,150,não,apartamento,não,não,não,,32,2
Erika Oliveira,21,Engenharia,2015,9,7.9,34,não,casa,não,não,não,,35,3
Fernanda Costa,25,Direito,2017,9,5.71,113,sim,casa,não,sim,não,,29,3
Helena Ribeiro,29,Medicina,2020,1,4.96,56,não,casa,não,sim,não,,47,5
Julia Martins,21,Direito,2018,3,2.2,48,sim,apartamento,não,não,não,,16,2
Julia Gomes,18,Direito,2019,8,0.93,166,não,moradia estudantil,sim,não,não,,38,4
Igor Almeida,19,Arquitetura,2020,8,6.51,68,sim,república,sim,não,não,,16,1
Daniel Pereira,22,Engenharia,2018,10,1.4,128,não,casa,sim,não,não,,27,5
Erika Gomes,30,Ciência da Computação,2015,3,0.59,160,sim,casa,sim,não,não,,18,2
Gustavo Silva,27,Medicina,2016,8,2.46,15,não,moradia estudantil,não,sim,não,,59,1
Alice Santos,28,Engenharia,2018,10,1.36,164,não,casa,sim,não,sim,Empresa A,51,1
Daniel Ferreira,22,Direito,2016,1,8.59,143,não,moradia estudantil,não,não,não,,23,4
Bruno Pereira,23,Psicologia,2017,7,2.53,136,não,casa,não,não,sim,Empresa A,30,4
Helena Silva,23,Ciência da Computação,2015,7,5.17,102,não,moradia estudantil,não,não,não,,56,1
Julia Ferreira,23,Psicologia,2017,7,8.68,81,não,moradia estudantil,não,não,sim,Empresa E,29,4
Daniel Silva,30,Engenharia,2018,7,8.31,169,não,apartamento,não,não,não,,55,1
Gustavo Gomes,29,Ciência da Computação,2018,2,5.07,189,sim,apartamento,sim,sim,sim,Empresa E,37,4
Alice Pereira,22,Psicologia,2020,7,3.99,192,não,casa,não,não,não,,42,3
Alice Almeida,27,Engenharia,2017,10,3.08,87,não,república,sim,não,sim,Empresa D,49,1
Bruno Oliveira,27,Direito,2019,4,5.56,59,não,casa,sim,não,não,,23,2
Gustavo Santos,20,Engenharia,2019,7,8.19,53,não,casa,não,sim,sim,Empresa C,44,3
Gustavo Martins,26,Administração,2015,1,8.73,95,não,moradia estudantil,sim,não,sim,Empresa C,47,3
Julia Gomes,23,Psicologia,2019,4,8.0,175,não,casa,sim,não,sim,Empresa C,40,1
Igor Santos,27,Psicologia,2015,8,3.69,37,sim,república,não,não,sim,Empresa D,39,4
Carla Pereira,27,Direito,2015,2,0.67,21,não,moradia estudantil,não,não,não,,36,1
Igor Silva,19,Medicina,2019,6,8.36,97,não,casa,não,sim,não,,15,3
Bruno Pereira,25,Arquitetura,2018,10,8.09,9,sim,moradia estudantil,não,não,sim,Empresa A,45,1
Erika Pereira,21,Arquitetura,2015,4,2.35,72,não,república,sim,não,não,,37,5
Helena Silva,28,Psicologia,2020,4,6.22,104,não,apartamento,não,não,não,,50,4
Bruno Costa,27,Direito,2016,4,3.8,68,não,república,não,sim,não,,28,3
Daniel Silva,21,Engenharia,2017,6,3.39,162,não,república,não,sim,sim,Empresa E,54,1
Helena Almeida,26,Engenharia,2018,1,9.36,190,não,moradia estudantil,sim,não,não,,44,4
Igor Pereira,28,Direito,2018,8,1.13,163,não,república,não,sim,não,,55,1
Julia Ribeiro,29,Psicologia,2019,3,6.89,63,não,moradia estudantil,não,não,não,,37,2
Julia Santos,28,Psicologia,2015,4,2.78,41,não,moradia estudantil,não,não,não,,30,5
Carla Ribeiro,27,Direito,2019,8,7.94,69,sim,casa,não,não,não,,18,2
Fernanda Gomes,22,Direito,2020,9,2.04,54,não,moradia estudantil,sim,sim,sim,Empresa C,46,2
Gustavo Gomes,29,Arquitetura,2020,10,7.46,92,não,casa,sim,não,não,,17,5
Alice Santos,20,Psicologia,2015,4,7.08,58,sim,república,não,sim,sim,Empresa E,39,3
Gustavo Almeida,22,Psicologia,2020,2,7.02,144,não,casa,sim,não,não,,42,3
Julia Costa,19,Administração,2017,7,2.65,198,não,república,não,não,sim,Empresa A,18,3
Fernanda Martins,21,Direito,2015,9,2.09,70,não,apartamento,não,não,não,,20,1
Daniel Ribeiro,21,Medicina,2018,6,5.54,122,não,casa,sim,não,sim,Empresa B,18,5
Julia Ribeiro,25,Psicologia,2020,1,5.29,102,não,moradia estudantil,não,não,sim,Empresa E,38,3
Helena Oliveira,30,Ciência da Computação,2018,5,6.24,41,não,república,não,não,não,,13,5
Alice Costa,21,Medicina,2018,4,3.73,171,não,moradia estudantil,não,sim,sim,Empresa E,33,4
Alice Gomes,25,Engenharia,2015,3,8.8,93,não,república,não,sim,não,,52,5
Erika Pereira,30,Psicologia,2017,5,0.39,163,sim,república,não,sim,não,,51,3
Helena Almeida,24,Arquitetura,2016,7,0.33,6,não,moradia estudantil,sim,não,não,,54,5
Bruno Gomes,24,Arquitetura,2017,1,4.12,69,não,república,não,não,sim,Empresa B,41,3
Gustavo Silva,24,Arquitetura,2015,7,8.64,199,sim,apartamento,sim,não,sim,Empresa E,58,5
Fernanda Martins,20,Psicologia,2020,8,6.74,118,não,moradia estudantil,não,não,não,,49,3
Igor Gomes,30,Direito,2015,1,6.86,182,não,apartamento,não,não,sim,Empresa E,37,3
Bruno Oliveira,30,Psicologia,2018,7,0.67,192,não,república,sim,não,não,,18,5
Julia Ferreira,22,Engenharia,2017,8,3.57,33,sim,república,não,não,não,,18,2
Erika Almeida,23,Direito,2015,10,0.7,161,não,moradia estudantil,não,sim,não,,15,1
Julia Santos,24,Medicina,2019,7,4.8,27,não,casa,não,não,não,,35,2
Alice Ribeiro,18,Engenharia,2015,6,3.55,44,sim,casa,não,não,não,,52,4
Helena Oliveira,23,Arquitetura,2018,10,8.6,169,não,república,não,não,não,,37,5
Carla Gomes,22,Psicologia,2016,6,5.08,133,não,moradia estudantil,não,não,não,,21,1
Carla Almeida,29,Administração,2016,10,8.32,188,não,apartamento,não,sim,não,,58,3
Gustavo Santos,30,Ciência da Computação,2020,6,3.56,33,não,república,não,não,sim,Empresa E,17,1
Igor Ribeiro,20,Ciência da Computação,2015,7,1.43,45,não,apartamento,não,não,não,,52,5
